"Continent ID","Continent","Country ID","Country","Year","Quarter ID","Quarter","Month ID","Month","Trade Value","Growth Value","Growth Percentage","Share"
"as","Asia","lka","Sri Lanka",2023,20231,"2023-Q1",202301,"2023-01",19000,-816000,-0.9772455089820359,0.00004464511352535698
"as","Asia","mys","Malasia",2023,20231,"2023-Q1",202301,"2023-01",25689000,-18291000,-0.41589358799454296,0.06036254322909976
"as","Asia","npl","Nepal",2023,20231,"2023-Q1",202301,"2023-01",216000,191000,7.64,0.0005075444484987951
"as","Asia","omn","Omán",2023,20231,"2023-Q1",202301,"2023-01",2087000,603000,0.4063342318059299,0.004903913259337895
"as","Asia","pak","Pakistán",2023,20231,"2023-Q1",202301,"2023-01",11795000,-953000,-0.07475682459993724,0.02771521652797819
"as","Asia","phl","Filipinas",2023,20231,"2023-Q1",202301,"2023-01",38955000,19900000,1.0443453161899763,0.09153423144106743
"as","Asia","qat","Katar",2023,20231,"2023-Q1",202301,"2023-01",6053000,2635000,0.7709186658864833,0.014222993272051883
"as","Asia","sau","Arabia Saudita",2023,20231,"2023-Q1",202301,"2023-01",51008000,23206000,0.8346881519315157,0.11985568161586363
"as","Asia","sgp","Singapur",2023,20231,"2023-Q1",202301,"2023-01",52467000,-3467000,-0.061983766582043125,0.12328395638604762
"as","Asia","tha","Tailandia",2023,20231,"2023-Q1",202301,"2023-01",25193000,-13440000,-0.34788911034607717,0.05919707079180623
"as","Asia","tur","Turquía",2023,20231,"2023-Q1",202301,"2023-01",28526000,-178000,-0.006201226309921962,0.0670287636012807
"as","Asia","twn","Taiwan",2023,20231,"2023-Q1",202301,"2023-01",40538000,2810000,0.074480491942324,0.0952538743205748
"as","Asia","uzb","Uzbekistán",2023,20231,"2023-Q1",202301,"2023-01",11221000,10467000,13.881962864721485,0.02636646415094898
"as","Asia","vnm","Vietnam",2023,20231,"2023-Q1",202301,"2023-01",24490000,-1858000,-0.07051768635190526,0.05754520159136803
"eu","Europa","ant","Antillas Holandesas",2023,20231,"2023-Q1",202301,"2023-01",1508000,1508000,,0.0035434121682230697
"eu","Europa","aut","Austria",2023,20231,"2023-Q1",202301,"2023-01",18214000,2857000,0.1860389398971153,0.04279821567109748
"eu","Europa","bel","Bélgica",2023,20231,"2023-Q1",202301,"2023-01",132605000,-27687000,-0.17272852045017842,0.31158764626473484
"eu","Europa","bgr","Bulgaria",2023,20231,"2023-Q1",202301,"2023-01",481000,-6891000,-0.934753119913185,0.0011302262950366687
"eu","Europa","che","Suiza",2023,20231,"2023-Q1",202301,"2023-01",142601000,-23653000,-0.14227026116664862,0.33507567546470685
"eu","Europa","cze","Chequia",2023,20231,"2023-Q1",202301,"2023-01",32179000,4837000,0.1769073220686124,0.07561237411223486
"eu","Europa","deu","Alemania",2023,20231,"2023-Q1",202301,"2023-01",823028000,295090000,0.5589482098276691,1.933904131291974
"eu","Europa","dnk","Dinamarca",2023,20231,"2023-Q1",202301,"2023-01",15761000,-2033000,-0.11425199505451275,0.03703429654069218
"eu","Europa","esp","España",2023,20231,"2023-Q1",202301,"2023-01",461017000,-47464000,-0.0933446874121157,1.083271384322079
"eu","Europa","est","Estonia",2023,20231,"2023-Q1",202301,"2023-01",813000,383000,0.8906976744186047,0.0019103409103218539
"eu","Europa","fin","Finlandia",2023,20231,"2023-Q1",202301,"2023-01",12147000,-3962000,-0.24594946924079708,0.028542325999605853
"eu","Europa","fra","Francia",2023,20231,"2023-Q1",202301,"2023-01",117569000,29716000,0.3382468441601311,0.2762569132664576
"eu","Europa","gbr","Reino Unido",2023,20231,"2023-Q1",202301,"2023-01",292862000,54257000,0.22739255254500115,0.6881503809085839
"eu","Europa","grc","Grecia",2023,20231,"2023-Q1",202301,"2023-01",8225000,-1688000,-0.17028144860284475,0.019326634670845326
"eu","Europa","hrv","Croacia",2023,20231,"2023-Q1",202301,"2023-01",1356000,-294000,-0.1781818181818182,0.003186251260020214
"eu","Europa","hun","Hungría",2023,20231,"2023-Q1",202301,"2023-01",22837000,-10422000,-0.3133587901019273,0.053661076714661964
"eu","Europa","irl","Irlanda",2023,20231,"2023-Q1",202301,"2023-01",40601000,11086000,0.3756056242588514,0.09540190811805362
